	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
C18.3n.6	0	0.3	0.27	0	0.27	2.66	0	0	0	0	0	0.23	0.28	0.3	0.47	0	5.07	0	0	0.24	0.17	0.41	0.66	0	0.85	0.28	0.32	0.09	0	0.12	0.18	0.14	0.31	0.46	0	0.18	0.08	0	0.21	0.43
C20.2n.6	0	0.3	0.33	0	0.23	0	0	0	0	0	0	0.21	0.36	0.19	0.35	0	0	0	0	0.23	0.05	0.31	0.61	0.27	0.83	0.32	0.09	0.12	0.24	0.1	0	0	0.33	0.54	0.24	0.07	0.11	0.26	0.13	0.59
C20.3n.6	0.78	1.64	1.51	1.1	1.58	0.81	0.68	0.72	1.07	0.59	1.05	1.32	1.64	1.37	1.6	0.78	0.67	1	0.82	1.44	0.2	0.53	0.74	0.38	1.04	0.35	0.64	0.22	0.47	0.22	0.4	0.11	0.41	0.73	0.4	0.26	0.17	0.57	0.14	0.89
C20.4n.6	3.07	15.34	13.27	3.92	11.85	5.09	2.57	2.64	4.23	3.67	3.75	10.3	15.76	11.76	15.07	3.12	3.87	3.83	4.96	10.6	1.55	2.98	8.67	1.27	4.72	1.85	4.76	1.39	1.87	1.52	2.97	0.75	2	5.47	1.9	1.83	0.96	3.02	1.84	11.18
C22.4n.6	0	0.58	0.54	0	0.32	0	0	0	0	0	0	0.27	0.72	0.31	0.66	0	0	0	0	0.31	0	0.18	0.65	0	0.73	0.14	0.26	0.11	0	0	0.07	0	0.17	0.6	0	0.05	0.06	0	0	0.63
C22.5n.6	0	2.1	1.77	0	0.44	0.56	0	0	0	0.39	0	0.29	2.52	0.45	1.89	0	0.43	0	0	0.36	0.17	0.08	0.98	0.21	1.13	0.07	0.19	0	0.19	0	0.38	0.07	0.07	0.95	0	0.17	0	0	0	1.62
C18.3n.3	5.97	0	0	0.49	0.42	0	8.4	6.01	0.55	0	0.43	0.53	0	0.54	0	6.22	0	0	0	0.43	0.09	1	0.1	1.16	0.14	1.17	1.16	21.5	1.31	21.62	0.07	0	1.31	0.17	1.45	0.07	18.11	0.71	14.39	0
C20.3n.3	0.37	0	0	0	0	0	0.42	0.39	0	0	0	0	0	0	0	0.37	0	0	0	0	0	0.07	0	0	0	0.07	0	0.64	0	0.48	0	0	0.07	0	0	0	0.52	0	0.24	0
C20.5n.3	8.62	0	0	2.99	0.3	0	7.37	7.96	3.13	0	2.9	0.25	0	0.23	0	9.48	0	2.79	0	0.35	0.15	0.25	0.09	2.17	0.07	0.16	0.3	4.1	2.65	3.86	0.18	0.07	0.2	0	2.82	0.13	2.66	2.91	2.31	0.13
C22.5n.3	1.75	0.48	0.22	1.04	0.35	2.13	2.05	2.33	1.65	0	1.16	0.43	0	0.45	0	2.01	2.58	1.08	0	0.31	0	0.24	0	2.04	0.06	0.15	0.28	1.94	2.16	1.55	0	0	0.23	0.21	1.8	0.3	1.27	1.64	0.98	0
C22.6n.3	10.39	2.61	2.51	14.99	6.69	2.56	9.84	10.4	16.36	1.86	16.21	6.61	3.27	7.04	2.71	10.96	1.99	17.35	2.44	5.97	0.64	2.16	1.7	11.56	0.91	1.22	3.44	4.02	13.26	4.45	1.16	0.28	1.41	1.11	11.57	0.64	2.29	16.28	3.87	1.83
